id,title,content,source_type,effectiveness_score
a4d8c7c9-4e78-4355-8c01-bfdf5718a36c,Reset Student Password Guide,"# Reset Student Password Guide

To reset your ERP Student Portal password, please follow these steps:
1. Navigate to the portal login page at [ERP Portal Login](http://localhost:3000/login).
2. Click on the **'Forgot Password'** link located below the login button.
3. Enter your Registered Student Email ID or Student Roll Number.
4. Check your inbox for the password reset link.
5. Click the link and enter your new password (must be at least 8 characters and include 1 number and 1 special character).

If you do not receive the email, check your Spam folder or contact the IT Helpdesk at helpdesk@university.edu.",markdown,5.0
b3f6d8d9-2d67-4632-aa78-dfdf3412b19d,Instructions to Pay Student Fees,"# Instructions to Pay Student Fees

Follow these official instructions to pay your tuition, hostel, or examination fees online:
1. Access the Student Portal and navigate to the **'Fee Payment Hub'**.
2. Review your pending dues statement shown on the dashboard.
3. Click on the **'Pay Outstanding Balance'** button.
4. Select your preferred payment mode:
   - *UPI* (Instant & No Transaction Charge)
   - *Net Banking* (All major banks supported)
   - *Credit/Debit Card* (1% transaction fee applies)
5. Complete the payment gateway authorization.
6. Once payment is processed, you will be redirected to download your **Official Fee Receipt** in PDF format.

*Note:* Fees paid via NEFT/IMPS bank transfer may take up to 48 hours to reconcile. Always keep a copy of your receipt.",markdown,4.8
c5e9d8e1-5e78-4355-8c01-bfdf5718a36d,Submitting Feedback & Suggestions,"# Submitting Feedback & Suggestions

We value your feedback to improve academic and campus facilities.
To submit feedback or suggestions:
1. Log in to the Student Portal and open the **'Feedback Center'**.
2. Choose a category for your feedback:
   - *Academic*: Curriculum, Faculty, or Schedule.
   - *Facilities*: Hostel rooms, Mess food, Gym, or Library.
   - *ERP System*: Bugs, portal navigation, or features.
3. Write a clear description and attach screenshots/documents if relevant.
4. Click **'Submit Feedback'**.

Your feedback will be routed to the respective department head for review.",markdown,4.5
d6f8c2b1-6a12-4f32-bb90-dfdf3412e10a,Hostel Room Allotment Rules,"# Hostel Room Allotment Rules

Hostel room allotment occurs annually before the odd semester begins:
1. Registration opens on the portal 30 days prior to semester start.
2. Allotment is done based on academic GPA and distance from home.
3. Room preference list (Single, Double, Triple sharing) can be submitted.
4. Hostellers must clear all previous fee dues before registration.
5. On allotment day, print the **Allotment Letter** and present it to the Warden.
6. Check-in must be completed within 3 days of allotment.",markdown,4.2
e7b8d9c2-7b23-4f56-bb91-efef3412f10b,Library Book Issuing Policy,"# Library Book Issuing Policy

Students can borrow books from the Central Library under these terms:
1. Undergraduates: Max 4 books for 14 days.
2. Postgraduates: Max 6 books for 30 days.
3. Books can be renewed online once before the due date if not reserved by others.
4. Overdue fine of $0.50 per day per book applies after the due date.
5. Lost books must be replaced with the same edition or paid at double the market price.
6. A **No Dues Certificate** is required from the library for graduation.",markdown,4.6
f8c9e0d3-8c34-4f67-cc92-ffbf3412a10c,Course Add/Drop Procedure,"# Course Add/Drop Procedure

To add or drop courses in your current semester:
1. Go to the Student Portal -> **'Academic Registration'**.
2. Click **'Modify Courses'** during the first week of classes.
3. Selected courses must not conflict in timetable slots.
4. Maximum credit limits per semester must not be exceeded.
5. Advisor approval is mandatory to finalize the modified schedule.
6. The deadline is strict; no changes are allowed after day 7 of the semester.",markdown,4.0
a9d0f1e4-9d45-4f78-dd93-aac3412b10d,Official Transcript Request Guide,"# Official Transcript Request Guide

To request your official academic transcripts:
1. Open the Student Portal and navigate to **'Documents & Certificates'**.
2. Select **'Request Official Transcript'**.
3. Specify the number of copies required.
4. Pay the transcript fee ($10 per copy) via the portal payment gateway.
5. Standard processing time is 5-7 working days.
6. You can choose to collect in person or request postal delivery (extra charges apply).",markdown,4.7
b0e1a2f5-0e56-4f89-ee94-bbc3412c10e,Campus Wi-Fi Connectivity Guide,"# Campus Wi-Fi Connectivity Guide

Connect to the secure campus Wi-Fi network using these steps:
1. Enable Wi-Fi on your device and select the SSID: **'UniSecure-WiFi'**.
2. Enter your student portal username and password on the prompt.
3. Trust the network security certificate if prompted.
4. For android/iOS: set EAP method to **PEAP** and CA certificate to **Use system certificates** or **Don't validate**.
5. Do not share credentials. Each account is limited to 2 active devices.",markdown,4.3
c1f2b3a6-1f67-4f90-ff95-ccd3412d10f,Student ID Card Replacement,"# Student ID Card Replacement

If your Student ID card is lost, damaged, or stolen:
1. File a report with Campus Security immediately.
2. Log in to the Student Portal and apply for a **'Duplicate ID Card'**.
3. Pay the replacement fee of $15 online.
4. Visit the IT Support Office (Admin Block, Room 102) with the receipt.
5. Your photo will be verified, and the new ID card will be printed in 10 minutes.",markdown,4.9
d2a3c4b7-2f78-4fa1-aa96-dde3412e11a,Scholarship Application Guidelines,"# Scholarship Application Guidelines

Apply for university scholarships to support your tuition fees:
1. Check eligibility criteria on the **'Scholarships & Aid'** page.
2. Obtain necessary certificates: Income statement, Marksheets, and Category certificate.
3. Fill the online application form before the portal closes.
4. Upload scanned copies of required documents in PDF format.
5. Applications are reviewed by the Scholarship Committee.
6. Approved scholarship amounts are directly adjusted against next semester's tuition fees.",markdown,4.4
